No_Kartu,Nama_Keluarga,Alamat,No_Telp,Anggota,Mei_2026,Juni_2026,Juli_2026,Agustus_2026,September_2026,Oktober_2026,November_2026,Desember_2026,Januari_2027,Februari_2027,Maret_2027,April_2027,Mei_2027,Juni_2027,Juli_2027,Agustus_2027,September_2027,Oktober_2027,November_2027,Desember_2027,Januari_2028,Februari_2028,Maret_2028,April_2028,Mei_2028
59,Bapak Asep Guna Beriana (4),Kp.Talun Desa Jelegong Rt.03 Rw.11,0896-1715-7644,"Bapak Asep, Ibu Siti, Vionita, Kevin",40000,40000,,,,,,,,,,,,,,,,,,,,,,,
60,Bapak Bambang (3),Kp.Talun Desa Jelegong Rt.02 Rw.05,0812-3456-7890,"Bapak Bambang, Vionita Putri, Kevin",10000,,,,,,,,,,,,,,,,,,,,,,,,
61,Ibu Suzanna Deborrah (2),Desa Jelegong Rt.01 Rw.03,0852-1234-5678,"Ibu Suzanna, Yosafat Sanjaya",40000,,,,,,,,,,,,,,,,,,,,,,,,
62,Bapak Yance (4),Kp.Talun Rt.04 Rw.11,0896-7777-8888,"Bapak Yance, Ibu Tabita, Kevin, Angel",0,,,,,,,,,,,,,,,,,,,,,,,,
63,PAK KOCAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PAK KICIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PAKPAHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
